Parent1 11-AD
Parent2 7-AD
SingleLarvae   2-7x11-LV
SingleLarvae   3-7x11-LV
SingleLarvae   B-11x7-LV
SingleLarvae   C-11x7-LV
Sperm   a7-SP
Sperm   b7-SP
Sperm   e11-SP
Sperm   f11-SP
Sperm   g11-SP
Pool    P1-7x11-PL
Pool    P2-7x11-PL
Pool    P3-7x11-PL
Pool    PA-11x7-PL
Pool    PB-11x7-PL
Pool    PC-11x7-PL
CtrlPool HA-h-C2
CtrlPool HB-h-C2
CtrlPool HC-h-C2
CtrlPool M1-h-C1
CtrlPool M2-h-C1
CtrlPool M3-h-C1
HeatPool HD-h-T2
HeatPool HE-h-T2
HeatPool HF-h-T2
HeatPool M4-h-T1
HeatPool M5-h-T1
HeatPool M6-h-T1
HeatPool F1-h-T3   
HeatPool F2-h-T3   
HeatPool F3-h-T3
HeatPool F4-h-T3 
